symbol,ma_type,ma_period,mode,rr,trades,win_rate,profit_factor,total_return,max_drawdown,positive_month_rate,avg_monthly_pnl,median_monthly_pnl,monthly_pnl_std,withdrawn_total,final_equity,total_wealth,consistency_score
EURUSD,wma,50,pullback,1.5,224,0.192,0.3584,-0.5819,0.5856,0.1681,-19.56,-14.67,30.25,0.0,1672.56,1672.56,0.050539
EURUSD,wma,50,pullback,2.0,223,0.1659,0.4091,-0.5641,0.569,0.1513,-18.96,-14.67,33.11,0.0,1743.73,1743.73,0.046104
EURUSD,wma,50,pullback,2.5,220,0.1591,0.4811,-0.5138,0.5299,0.1849,-17.27,-15.78,36.51,14.05,1930.55,1944.6,0.059681
EURUSD,wma,55,flip,1.5,231,0.3983,0.8957,-0.1023,0.148,0.395,-3.44,0.0,50.8,49.56,3541.27,3590.83,0.205814
EURUSD,wma,55,flip,2.0,231,0.3636,1.0495,0.0528,0.1163,0.3782,1.78,0.0,55.14,330.22,3881.13,4211.34,0.197813
EURUSD,wma,55,flip,2.5,231,0.3117,1.0672,0.0757,0.1083,0.3782,2.54,0.0,61.5,341.97,3960.87,4302.84,0.190648
EURUSD,wma,55,slope_flip,1.5,61,0.4426,1.0672,0.0166,0.0412,0.2017,0.56,0.0,24.78,121.62,3944.92,4066.54,0.147638
EURUSD,wma,55,slope_flip,2.0,61,0.4098,1.2478,0.0653,0.042,0.1849,2.2,0.0,29.13,283.86,3977.36,4261.22,0.129838
EURUSD,wma,55,slope_flip,2.5,61,0.3279,1.1479,0.0421,0.0801,0.1513,1.42,0.0,32.93,176.75,3991.73,4168.48,0.098562
EURUSD,wma,55,pullback,1.5,212,0.184,0.326,-0.5663,0.578,0.1597,-19.03,-15.19,32.53,26.59,1708.29,1734.88,0.047895
EURUSD,wma,55,pullback,2.0,212,0.1792,0.4252,-0.5066,0.5279,0.1513,-17.03,-13.73,36.92,51.96,1921.67,1973.63,0.048865
EURUSD,wma,55,pullback,2.5,209,0.1675,0.4814,-0.4714,0.5013,0.1933,-15.85,-13.73,40.36,73.76,2040.52,2114.28,0.06407
EURUSD,wma,89,flip,1.5,162,0.463,1.1729,0.11,0.0822,0.3419,3.76,0.0,36.37,414.41,4025.54,4439.95,0.215716
EURUSD,wma,89,flip,2.0,162,0.4321,1.4259,0.2928,0.0858,0.3248,10.01,0.0,49.3,1049.86,4121.53,5171.38,0.183713
